token,age_hours,market_cap,liquidity_usd,volume_24h,holders,is_moonshot,chain,entry_price,current_price,top_10_holders_pct,is_liquidity_locked,dev_holding_pct,tx_velocity_1m,has_socials,funded_from_cex,label,liquidity_to_mc_ratio,volume_to_liq_ratio
SCAM_0018,16,10951.108914173292,1000.0,689.4850433075004,54,False,solana,1e-05,1.0951108914173293e-05,43.625281322982374,0,8.417751747801317,12.26585876199236,1,1,0,0.09130661572456467,0.68879624706044
SCAM_0019,3,4485.004533747791,3969.0305608387534,2035.7100224359929,39,False,solana,1e-05,4.485004533747792e-06,37.33589392465844,1,18.37286439848862,12.021637948918412,0,1,0,0.8847584818472894,0.5127693581295519
SCAM_0020,23,23133.288394058443,5731.2371606697925,3060.7003475354873,36,False,solana,1e-05,2.3133288394058445e-05,17.184550766934827,1,23.587519782551716,2.7382499105573426,0,0,0,0.24773777619811035,0.5339451704014728
SCAM_0021,6,9144.46382354288,1000.0,619.8319629278317,77,False,solana,1e-05,9.14446382354288e-06,8.906884560255355,1,16.135257860278596,17.671756389977226,0,1,0,0.10934382545210354,0.619212750177654
SCAM_0022,24,10444.748206393098,2749.4021481803593,3708.477683612355,36,False,solana,1e-05,1.0444748206393098e-05,32.36932106048628,0,16.432253789397997,6.046400809185415,1,1,0,0.26320777543705737,1.3483401640250499
SCAM_0023,14,8708.629072831789,1024.7398002097536,500.0,96,False,solana,1e-05,8.70862907283179e-06,22.606099749584054,1,10.599581873205683,3.4607835043732793,0,1,0,0.11765596349059866,0.4874530557337786
SCAM_0024,2,3000.0,1000.0,500.0,56,False,solana,1e-05,3e-06,9.881529393791153,1,20.389858663838737,17.886213517510566,1,0,0,0.3332222592469177,0.4995004995004995
SCAM_0025,41,12370.394652100142,1000.0,1334.1312854557132,62,False,solana,1e-05,1.2370394652100142e-05,24.807076404450807,1,8.740874971150468,19.157378466365316,1,0,0,0.0808316303958699,1.3327984869687444
SCAM_0026,32,9656.98883416634,2166.4989048083353,1541.306149906641,17,False,solana,1e-05,9.656988834166342e-06,6.375540844608736,1,11.473584728084873,17.38042472804356,0,1,0,0.22432195170324437,0.7110989290409507
SCAM_0027,32,35520.136141280105,5771.3929740146295,1040.192919735195,70,False,solana,1e-05,3.5520136141280106e-05,41.372816083151285,0,13.508728772328336,16.380805419772685,0,1,0,0.1624777132989148,0.180201334943375
SCAM_0028,13,19662.842227780096,4331.084178102577,1094.2686133271632,99,False,solana,1e-05,1.9662842227780094e-05,15.351199264000677,1,15.1522075736891,13.449597632141412,0,1,0,0.22025625144529676,0.2525963412387903
SCAM_0029,15,27141.86411989263,8648.916516316674,4250.198712002681,69,False,solana,1e-05,2.714186411989263e-05,31.50089137415928,1,9.848194648301604,11.466290041573647,0,1,0,0.31864421079933136,0.49135719448683296
SCAM_0030,34,3000.0,1271.9458194330148,654.2110435004139,27,False,solana,1e-05,3e-06,17.46844304357644,0,7.296736494784071,2.6527484383167925,1,1,0,0.4238406595911412,0.5139347123130561
SCAM_0031,25,14921.265686533512,1214.336216374985,500.0,42,False,solana,1e-05,1.4921265686533512e-05,25.802720847112433,1,17.21240084883265,8.760611048343275,1,0,0,0.0813774692050185,0.41140878817169046
SCAM_0032,41,24339.826010969096,1227.7298588801125,1868.7810119446171,42,False,solana,1e-05,2.4339826010969095e-05,26.868411173731186,1,10.772611064805115,8.081081823233966,0,1,0,0.05043912060859566,1.5209046955592496
SCAM_0033,8,3000.0,1000.0,500.0,78,False,solana,1e-05,3e-06,12.394178221021082,1,16.624764428452245,5.935321891446198,0,0,0,0.3332222592469177,0.4995004995004995
SCAM_0034,31,3000.0,1000.0,500.0,85,False,solana,1e-05,3e-06,43.783385110582344,1,8.087254305484047,14.744982160083113,0,1,0,0.3332222592469177,0.4995004995004995
SCAM_0035,12,8488.425476833794,1501.2137463174613,897.4443427204073,49,False,solana,1e-05,8.488425476833794e-06,36.00531293444458,1,14.62280203709635,10.421638966496646,0,1,0,0.17683337352027173,0.5974145456466562
SCAM_0036,3,8462.754988264107,1000.0,1748.0677239779393,42,False,solana,1e-05,8.462754988264108e-06,42.579957662567566,1,15.651788651031717,2.5398781022453107,1,1,0,0.11815086818871835,1.746321402575364
SCAM_0037,41,3000.0,1396.1843508004758,908.6722563238714,19,False,solana,1e-05,3e-06,40.79309401710595,0,6.036470736448538,5.183480837046416,0,0,0,0.46523970369892564,0.6503596005804633
SCAM_0038,24,36310.00266097101,6987.782290363816,742.1429742560704,54,False,solana,1e-05,3.631000266097101e-05,28.915999152443405,1,11.732085563878412,13.981916509532322,0,0,0,0.19244255950758019,0.1061905985080323
SCAM_0039,1,4135.14013759453,1000.0,500.0,92,False,solana,1e-05,4.13514013759453e-06,41.87496940092467,1,7.688293538779485,2.4464863303157034,0,0,0,0.24177130530726498,0.4995004995004995
SCAM_0040,4,3747.768044860419,2239.723191230796,500.0,14,False,solana,1e-05,3.747768044860419e-06,8.53970008207678,1,6.267499409455355,17.172931366926605,0,0,0,0.5974557946580527,0.22314224352065432
SCAM_0041,21,22763.80274228603,4196.035292848566,1685.2622459556485,22,False,solana,1e-05,2.2763802742286033e-05,12.839314496765809,1,24.799204647798906,10.407784013265513,0,0,0,0.18432117951342294,0.40153635325087905
SCAM_0042,10,3000.0,1000.0,500.0,59,False,solana,1e-05,3e-06,6.809091556421523,1,11.447076899494459,10.131144969206312,0,1,0,0.3332222592469177,0.4995004995004995
SCAM_0043,26,3722.312648395795,1966.399889013128,500.0,18,False,solana,1e-05,3.722312648395795e-06,18.013213230530575,1,21.1974889170927,12.255747908530834,0,0,0,0.5281318209633455,0.2541425374639043
SCAM_0044,45,15822.085487655,1000.0,559.6486873844856,30,False,solana,1e-05,1.5822085487655002e-05,20.54709158757928,1,10.092813095275277,16.668938352577833,0,0,0,0.06319879904461043,0.5590895977866989
SCAM_0045,7,21086.929538897548,3973.850602566891,1706.452933345961,57,False,solana,1e-05,2.108692953889755e-05,15.853961270955836,1,18.630054444478585,7.608374950141668,1,1,0,0.18844195183965126,0.4293124708244286
SCAM_0046,39,86719.88555925034,14434.454774198412,8226.706173054356,25,False,solana,1e-05,8.671988555925035e-05,38.14950036607718,1,20.204557197793733,13.882306898622208,0,1,0,0.16644727139388302,0.5698958780126951
SCAM_0047,21,3301.1551335340537,1000.0,500.0,90,False,solana,1e-05,3.3011551335340543e-06,19.270133067743572,1,16.912774812156886,11.74890731592003,0,1,0,0.30283253195611487,0.4995004995004995
SCAM_0048,19,7428.30952047864,2136.567869858306,773.1056481298443,10,False,solana,1e-05,7.42830952047864e-06,16.23738038749523,1,14.431523771003167,6.073537133219006,0,0,0,0.2875863314038713,0.3616753690169808
SCAM_0049,42,10910.381379602451,1546.5510011506308,2475.70659273301,73,False,solana,1e-05,1.0910381379602451e-05,26.70784332632994,1,13.236818282945372,17.693969740748003,0,1,0,0.14173741594641048,1.5997576757678937
SCAM_0050,37,33428.56237682918,3241.6230657043748,1180.2130654865005,35,False,solana,1e-05,3.342856237682918e-05,10.636968998990506,1,11.977365330859906,16.151094410531634,0,0,0,0.09696875565296723,0.36396862711828337
SCAM_0051,15,18126.84784301322,5565.430588261823,3485.300507916043,14,False,solana,1e-05,1.8126847843013223e-05,37.08787923016159,0,23.59058288495652,13.510584858510084,0,0,0,0.30701000121240724,0.6261284413149154
SCAM_0052,29,37917.38231190301,7112.841434579787,2823.3254757360996,11,False,solana,1e-05,3.791738231190302e-05,7.982025747190833,1,21.612388155754584,17.161052852790597,0,1,0,0.18758293473788268,0.3968777631185524
SCAM_0053,6,32009.852787861524,8246.495745304112,1107.27843394093,67,False,solana,1e-05,3.200985278786153e-05,44.47547746402069,0,24.300538213330253,17.478589818236244,0,0,0,0.25761562180034053,0.13425632072273364
SCAM_0054,8,3000.0,1000.0,500.0,69,False,solana,1e-05,3e-06,35.889790771866295,1,7.485944469710894,14.45889655758566,0,1,0,0.3332222592469177,0.4995004995004995
SCAM_0055,44,112653.90308592988,26008.77286099978,8847.318544741984,27,False,solana,1e-05,0.0001126539030859,12.948627261366896,1,19.617349504072884,16.90325323890977,0,1,0,0.23087120177238132,0.3401536257937896
SCAM_0056,30,111117.30699262372,16836.76609745015,3802.425597332533,86,False,solana,1e-05,0.0001111173069926,5.220884684944096,0,23.766809136420758,14.25195777171639,1,0,0,0.15152108192728145,0.22582720150200677
SCAM_0057,19,4389.081061122386,1000.0,500.0,89,False,solana,1e-05,4.389081061122387e-06,37.618457138193364,1,8.624661323313203,13.922674663445708,0,1,0,0.2277862267409559,0.4995004995004995
SCAM_0058,22,10033.382412428957,1000.0,870.2670968605296,67,False,solana,1e-05,1.0033382412428957e-05,33.274293753904686,0,6.32992534733555,12.753616186088502,0,0,0,0.09965735397540391,0.8693976991613682
SCAM_0059,36,3000.0,1000.0,500.0,51,False,solana,1e-05,3e-06,34.160286721639494,0,19.82241298580118,15.301616151595184,0,1,0,0.3332222592469177,0.4995004995004995
SCAM_0060,16,3000.0,1000.0,500.0,23,False,solana,1e-05,3e-06,35.85081386743783,1,16.489462263598238,4.0134970005684005,0,1,0,0.3332222592469177,0.4995004995004995
SCAM_0061,23,3000.0,1000.0,500.0,68,False,solana,1e-05,3e-06,7.961786069363614,1,21.83657553516544,17.73654442477964,0,1,0,0.3332222592469177,0.4995004995004995
SCAM_0062,5,3000.0,1504.3154664109543,1233.632462395382,6,False,solana,1e-05,3e-06,19.338629141770905,0,7.79544753252579,17.56502702715941,0,1,0,0.5012713983375389,0.8195175628778119
SCAM_0063,16,23602.589655427713,5682.137095873417,1604.436264584033,26,False,solana,1e-05,2.360258965542772e-05,9.634762381005189,1,20.905346237197804,1.5556983776566238,1,0,0,0.24073190471546743,0.2823152490459944
SCAM_0064,23,7886.563555039751,2410.8360456577875,610.9611124835088,42,False,solana,1e-05,7.88656355503975e-06,39.52413703502374,1,9.03254640095489,16.690518260730492,0,1,0,0.3056502846328745,0.25331784620412684
SCAM_0065,28,3000.0,1000.0,500.0,7,False,solana,1e-05,3e-06,29.931925073102317,0,8.27311885731409,3.448527481995459,0,0,0,0.3332222592469177,0.4995004995004995
SCAM_0066,33,16390.25549195082,8468.513935557463,1830.6111466187256,12,False,solana,1e-05,1.6390255491950818e-05,18.235920994105967,1,8.285315958619858,7.367258230923696,0,1,0,0.5166482786944575,0.2161412284751421
SCAM_0067,22,7984.998395997374,6041.31689426173,1287.631647884667,89,False,solana,1e-05,7.984998395997376e-06,7.542334011440945,0,21.29149440462764,15.126656869540547,0,1,0,0.75648861854138,0.21310230337430755
SCAM_0068,38,9367.184904481812,1000.0,500.0,82,False,solana,1e-05,9.367184904481814e-06,17.439292868626488,0,18.303944413924004,4.0544380249178555,0,0,0,0.10674426371768049,0.4995004995004995
SCAM_0069,17,27983.335162363102,8960.103108240262,3099.5705519784624,19,False,solana,1e-05,2.7983335162363103e-05,18.007332881069882,1,15.461308495382386,16.541373458262182,0,1,0,0.32018281142840765,0.3458916290259203
SCAM_0070,34,5222.883879472601,1000.0,1043.0038741889978,96,False,solana,1e-05,5.222883879472601e-06,34.18424713352256,1,12.17660968247005,16.810549381197095,0,0,0,0.19142845114332044,1.041961912276721
SCAM_0071,16,3000.0,1000.0,500.0,52,False,solana,1e-05,3e-06,30.502298854208526,1,22.544010816262166,10.641886941455887,1,1,0,0.3332222592469177,0.4995004995004995
SCAM_0072,9,32363.422775336538,11022.296669972944,1446.234314671991,97,False,solana,1e-05,3.236342277533654e-05,40.48850970305306,1,12.848902148452709,1.121331562619838,0,1,0,0.34056830694884316,0.1311979853188094
SCAM_0073,14,8405.506687367824,2385.464717335566,775.2274295334613,27,False,solana,1e-05,8.405506687367825e-06,23.888597006477973,1,21.33198878943154,6.453724530323343,0,1,0,0.2837640896568992,0.32484344893185146
SCAM_0074,2,3039.798399518659,1909.0082116839792,1454.739014724782,86,False,solana,1e-05,3.0397983995186594e-06,9.783769837532068,1,13.782698171404368,12.721611449139102,0,1,0,0.6277983479556436,0.7616401886786632
SCAM_0075,38,7116.859070879269,1000.0,652.3054294041207,16,False,solana,1e-05,7.11685907087927e-06,33.5297914889198,1,12.538888588498152,19.642537382521045,0,0,0,0.14049168296843928,0.6516537756284921
SCAM_0076,5,3000.0,1000.0,500.0,41,False,solana,1e-05,3e-06,35.4314019446759,1,14.253595713392128,13.0044570133167,0,0,0,0.3332222592469177,0.4995004995004995
SCAM_0077,38,32825.36368504769,1000.0,657.1965285967993,23,False,solana,1e-05,3.282536368504769e-05,27.45108790277985,0,11.027557483282841,5.936268040219036,0,0,0,0.03046331934887741,0.6565399886081912
SCAM_0078,11,3144.256327225911,1265.2319401015554,777.4842992108523,19,False,solana,1e-05,3.1442563272259115e-06,35.83868719818244,1,19.952187603525022,13.046108358892615,0,0,0,0.4022667180253252,0.6140141269446227
SCAM_0079,14,44949.72477567048,3824.0404503883633,4632.5796256674275,82,False,solana,1e-05,4.494972477567048e-05,24.75182385457563,0,15.054407801849583,11.259722214601254,1,0,0,0.08507183075406428,1.2111191203735043
SCAM_0080,3,24485.557813729574,6320.197239454996,1844.218559784191,28,False,solana,1e-05,2.4485557813729577e-05,25.909313175279763,0,9.644253902936345,15.817062507871729,0,1,0,0.25810884843566173,0.291751465730754
SCAM_0081,43,25208.657915017895,10932.531527227498,942.0035056075036,53,False,solana,1e-05,2.52086579150179e-05,22.101640734341984,1,22.991491465491368,3.0326321377122096,0,1,0,0.4336644140147087,0.08615729540466005
SCAM_0082,34,8880.492829869952,3702.6490159322175,1591.318003679422,93,False,solana,1e-05,8.880492829869953e-06,6.0167650697638075,1,12.677824427464229,15.459530147538532,1,1,0,0.4168948944573357,0.4296622052559382
SCAM_0083,14,15849.150448987544,1149.3085910575849,663.8277984183196,88,False,solana,1e-05,1.5849150448987544e-05,9.315657079732178,1,15.871057222279772,11.284064994846096,0,0,0,0.0725108947550084,0.5770867083657972
SCAM_0084,30,37981.487859094246,9857.252919923449,15477.616426897344,48,False,solana,1e-05,3.798148785909425e-05,6.25716742746937,1,23.12944221929094,19.2968480733209,0,1,0,0.2595209917920977,1.5700161633728436
SCAM_0085,28,5756.7807626747635,1000.0,973.541813092678,24,False,solana,1e-05,5.756780762674764e-06,30.456416450551217,0,17.484759918279842,7.495571154735035,0,1,0,0.1736780265206646,0.9725692438488291
SCAM_0086,39,5459.124568400053,1000.0,500.0,22,False,solana,1e-05,5.459124568400054e-06,17.574239243053068,0,7.337960814167282,13.019815969545014,0,0,0,0.1831460047243984,0.4995004995004995
SCAM_0087,45,19756.020745517417,3494.2503681355793,786.6546102738599,49,False,solana,1e-05,1.975602074551742e-05,25.342827646588113,0,23.796642472269504,18.708534004690332,0,1,0,0.17686119851488105,0.22506388024314083
SCAM_0088,7,3000.0,1000.0,500.0,17,False,solana,1e-05,3e-06,41.30265895704372,1,17.554161061428356,2.947684831822906,1,1,0,0.3332222592469177,0.4995004995004995
SCAM_0089,28,7601.859753257044,1522.3193509804664,500.0,15,False,solana,1e-05,7.601859753257045e-06,14.971689165954999,1,11.698112293141723,18.80734125749257,0,0,0,0.20022983461299665,0.3282305838747344
SCAM_0090,31,5940.090350367207,9464.664238801994,1542.0674073760144,25,False,solana,1e-05,5.940090350367208e-06,21.415316921425188,1,7.785441453267746,14.069828723715453,0,1,0,1.5930853901619257,0.16291169520409524
SCAM_0091,17,30075.293152805592,8092.366096647467,1766.5664298211984,99,False,solana,1e-05,3.0075293152805595e-05,35.22204554172195,0,20.88050378540592,2.2889041229982663,0,1,0,0.26906128542947094,0.21827338695984197
SCAM_0092,4,3067.1829700449025,1000.0,500.0,80,False,solana,1e-05,3.067182970044903e-06,14.151926619664899,1,17.40145511857027,6.718307771989509,0,0,0,0.3259258035661951,0.4995004995004995
SCAM_0093,31,33971.01243283532,6390.647967870574,2504.1075262705294,33,False,solana,1e-05,3.3971012432835323e-05,8.079196393151719,1,15.66922183952643,14.455269684260351,0,1,0,0.18811508386514525,0.3917780733322821
SCAM_0094,18,14964.981929213702,1917.177811289574,678.7298789928585,17,False,solana,1e-05,1.4964981929213705e-05,16.590058116550722,1,22.877851661019154,2.279661427906662,0,1,0,0.12810237379394596,0.353840960414694
SCAM_0095,45,17671.817131852957,2575.6096936250647,1372.1495515863592,95,False,solana,1e-05,1.7671817131852956e-05,11.448851490160177,1,20.771944224490614,12.061238743349191,1,1,0,0.1457384906101282,0.5325407084283164
SCAM_0096,11,3000.0,1000.0,500.0,32,False,solana,1e-05,3e-06,42.18790609370292,1,8.033497594655024,7.571778082106178,0,1,0,0.3332222592469177,0.4995004995004995
SCAM_0097,34,3000.0,1372.107691812497,801.5258152998456,62,False,solana,1e-05,3e-06,37.32481518257668,0,11.234441355910965,12.797394837582065,0,1,0,0.4572168249958337,0.5837312106538669
SCAM_0098,37,3000.0,1000.0,541.249783258237,30,False,solana,1e-05,3e-06,30.33615026041694,1,9.969782796289316,1.869098642437744,0,1,0,0.3332222592469177,0.540709074184053
SCAM_0099,8,3003.274622584571,1619.4731562231434,1283.0392236652071,55,False,solana,1e-05,3.003274622584571e-06,39.85842360750871,1,19.878925851453538,17.55919931689515,0,1,0,0.5390562979991204,0.7917682676432619
SCAM_0100,40,5235.140270568689,1732.2941314434167,2773.13341145976,39,False,solana,1e-05,5.235140270568689e-06,37.14688307596458,0,5.670648694715588,19.49629041437054,0,0,0,0.33083417210579713,1.5999208450272704
SCAM_0101,43,5132.754941509612,1390.5256661634908,761.0673836139199,79,False,solana,1e-05,5.1327549415096124e-06,12.462802355441433,0,16.39779369742633,19.40867925042814,0,1,0,0.2708593772017093,0.5469301803912986
SCAM_0102,44,3000.0,1116.4439078155929,500.0,63,False,solana,1e-05,3e-06,40.70235993959911,0,20.24917371481381,15.24338480311557,0,1,0,0.3720239612847694,0.4474497525136742
SCAM_0103,37,3000.0,1000.0,500.0,23,False,solana,1e-05,3e-06,26.573689676626028,0,22.53531273523499,3.471638562482007,0,1,0,0.3332222592469177,0.4995004995004995
SCAM_0104,31,11056.53543418149,8950.15441668681,4194.09541216641,40,False,solana,1e-05,1.105653543418149e-05,37.2976062065625,1,11.841634974318149,15.407000722651429,0,0,0,0.8094167520385908,0.46855357610050224
SCAM_0105,43,22035.32552887001,4658.786120211104,2316.8377570646135,88,False,solana,1e-05,2.2035325528870012e-05,40.84365199693973,1,21.425146093440258,1.4671514127172287,0,1,0,0.21141392715893503,0.4971983042345413
SCAM_0106,41,4368.887014857267,6076.08529452265,909.277749738404,80,False,solana,1e-05,4.368887014857267e-06,17.720138998874553,1,7.2126347391041445,1.4203474790509478,1,0,0,1.3904444837737098,0.14962399006608432
SCAM_0107,29,21282.450273014212,1577.2529301205775,1270.934809795592,78,False,solana,1e-05,2.1282450273014214e-05,9.40207698110707,0,21.929045834690363,7.148594163841284,0,0,0,0.07410701319045125,0.8052795502800006
SCAM_0108,18,20656.44784879059,2445.4780520504396,868.4509905931477,58,False,solana,1e-05,2.065644784879059e-05,14.117406501677667,1,7.549773246639648,10.28422061768865,0,0,0,0.11838239021349446,0.3549800865228619
SCAM_0109,30,33607.44958257053,7240.247463062718,5854.753327966124,27,False,solana,1e-05,3.360744958257053e-05,22.08431154505025,1,12.945745811207345,15.63774093834807,0,0,0,0.2154293802001964,0.8085282760782532
SCAM_0110,47,3000.0,1000.0,500.0,96,False,solana,1e-05,3e-06,37.72059063689972,0,20.94590731559107,13.982612155523599,1,1,0,0.3332222592469177,0.4995004995004995
SCAM_0111,46,3000.0,1038.1581265701248,678.5657797616924,41,False,solana,1e-05,3e-06,39.429223330253734,1,7.998348546975476,9.472151421158218,1,1,0,0.3459373963912445,0.652995691811973
SCAM_0112,35,30810.4935052188,5886.170658191627,2360.7737487165987,85,False,solana,1e-05,3.08104935052188e-05,5.278085221247628,1,9.58502790465283,6.1989066593516515,0,0,0,0.1910381480597374,0.40100311096498126
SCAM_0113,17,3000.0,1000.0,500.0,98,False,solana,1e-05,3e-06,25.42989210310263,1,19.445051367861325,19.945365502996513,1,1,0,0.3332222592469177,0.4995004995004995
SCAM_0114,6,29234.600079236843,6471.298037439186,604.794209106466,69,False,solana,1e-05,2.9234600079236845e-05,21.69644012595116,1,19.400730730921488,9.097444742483486,0,1,0,0.22134993021864155,0.09344350424038221
SCAM_0115,22,3585.54468188039,1000.0,500.0,16,False,solana,1e-05,3.5855446818803904e-06,13.88431241882921,0,17.822952657705947,9.576353462263834,0,1,0,0.27881989176159094,0.4995004995004995
SCAM_0116,9,48229.19034998903,10503.596973471767,5633.979796653182,12,False,solana,1e-05,4.8229190349989035e-05,9.794614693347313,1,18.878968889342,4.108852602641715,0,0,0,0.21778054154982526,0.5363346933615059
